Unnamed: 0,name,price,age,location,image,link,store,category
25,Gorenje vaskemaskin,2500.0,21. apr. 2022,Fredrikstad,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/21/2/255/545/952_2097490808.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=255545952,finn,0.22054_8
26,Good quality AEG washing machine + dryer combo for sale,2500.0,21. apr. 2022,Haslum,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/21/5/255/532/615_110327478.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=255532615,finn,0.22054_8
27,"Defekt vaskemaskin,  ulyd når virker",,20. apr. 2022,Eidsvoll,https://images.finncdn.no/dynamic/480x360c/2021/10/vertical-0/18/9/235/785/119_1552082724.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=235785119,finn,0.22054_8
28,vaske maskin og tørketrommel,5000.0,20. apr. 2022,Fredrikstad,https://images.finncdn.no/dynamic/480x640c/2021/11/vertical-0/14/8/238/737/908_348682866.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=238737908,finn,0.22054_8
29,tørketromme,1500.0,11. mai 2022,Mjøndalen,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/11/4/258/101/644_1021316519.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258101644,finn,0.22054_8
30,Arbeidsbenk som man kan dra ut mellom to vaskemaskiner som står oppå verandre,500.0,11. mai 2022,Asker,https://images.finncdn.no/dynamic/480x360c/2021/9/vertical-0/12/7/231/758/197_1983484180.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=231758197,finn,0.22054_8
31,STABLERAMME M/ UTTREKKBAR HYLLE,500.0,11. mai 2022,Langhus,https://images.finncdn.no/dynamic/480x640c/2020/7/vertical-0/12/6/184/579/036_784112496.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=184579036,finn,0.22054_8
32,Defekt vaskemaskin selges billig!,400.0,11. mai 2022,Fetsund,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/11/1/258/069/211_206970924.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258069211,finn,0.22054_8
33,Miele vaskemaskin (W921),2100.0,11. mai 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/11/0/258/051/010_1804471669.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258051010,finn,0.22054_8
34,Elegant LG kjøleskap side by side.,3500.0,19. apr. 2022,Bjørkelangen,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/19/6/255/328/706_10348859.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=255328706,finn,0.22054_8
35,inntak/innløp slange til vaskemaskin,150.0,10. mai 2022,Blaker,https://images.finncdn.no/dynamic/480x360c/2016/10/vertical-5/12/0/842/008/00_2139615339.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=84200800,finn,0.22054_8
36,Original LG vaskemaskin slange,,16. apr. 2022,Hakadal,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/17/1/255/020/881_1469309689.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=255020881,finn,0.22054_8
37,Lite brukt LG tørketrommel,2000.0,16. apr. 2022,Fornebu,https://images.finncdn.no/dynamic/480x640c/2021/10/vertical-0/01/2/233/833/742_1094081224.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=233833742,finn,0.22054_8
38,Stableramme,500.0,8. mai 2022,Sætre,https://images.finncdn.no/dynamic/480x640c/2021/6/vertical-0/09/4/221/427/514_1797277707.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=221427514,finn,0.22054_8
39,Til silke kunst til å tørke malt silke bud,2000.0,7. mai 2022,Svelvik,https://images.finncdn.no/dynamic/480x640c/2021/11/vertical-0/04/1/237/575/541_1622358438.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=237575541,finn,0.22054_8
40,Ubrukt Electrolux kullfiler,300.0,14. apr. 2022,Fredrikstad,https://images.finncdn.no/dynamic/480x640c/2020/11/vertical-0/30/9/200/237/069_1550304399.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=200237069,finn,0.22054_8
41,Kan levere! Topp fungerende vaskemaskin,2200.0,14. apr. 2022,Hagan,https://images.finncdn.no/dynamic/480x640c/2021/12/vertical-0/02/3/240/560/753_1737237899.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=240560753,finn,0.22054_8
