,name,price_now,price_before,sale,available,stats,image,link,site,category
99,"Philips 24"" skjerm 242S1AE/00",2495,,,47,"['1920x1080', 'IPS', '75hz', '4ms', '1000:1', 'FreeSync', 'Speakers', 'VGA/DVI/HDMI/DP']",komplett.no/img/p/800/1164061.jpg,komplett.no/product/1164061/datautstyr/skjermer/skjermer/philips-24-skjerm-242s1ae00?productList=notSet&position=102,komplett,skjermer
100,"Philips 27"" skjerm 272S1AE/00",2639,,,23,"['1920x1080', 'IPS', '75hz', '4ms', '1000:1', 'FreeSync', 'Speakers', 'VGA/HDMI']",komplett.no/img/p/800/1164064.jpg,komplett.no/product/1164064/datautstyr/skjermer/skjermer/philips-27-skjerm-272s1ae00?productList=notSet&position=103,komplett,skjermer
101,"ASUS 16"" portabel skjerm MB16AH",3299,,,24,"['1920x1080', 'IPS', '5ms', '700:1', 'Micro', 'HDMI/USB-C']",komplett.no/img/p/800/1171755.jpg,komplett.no/product/1171755/datautstyr/skjermer/skjermer/asus-16-portabel-skjerm-mb16ah?productList=notSet&position=104,komplett,skjermer
102,"ASUS 24"" skjerm ProArt PA248QV",2995,,,50,"['1920x1200', 'IPS', '75hz', '5ms', '1000:1', 'Rec.709', 'VGA/HDMI/DP']",komplett.no/img/p/800/1171757.jpg,komplett.no/product/1171757/datautstyr/skjermer/skjermer/asus-24-skjerm-proart-pa248qv?productList=notSet&position=105,komplett,skjermer
103,"Philips 27"" skjerm 276B1/00",4995,,,50,"['2560x1440', 'IPS', '4ms', '1000:1', 'Speakers', 'Daisy', 'chain', 'HDMI/DP/USB-C(90w)']",komplett.no/img/p/800/1171892.jpg,komplett.no/product/1171892/datautstyr/skjermer/skjermer/philips-27-skjerm-276b100?productList=notSet&position=106,komplett,skjermer
104,"Philips 27"" skjerm 276B9/00",4395,,,50,"['2560x1440', 'IPS', '75hz', '4ms', '1000:1', 'Speakers', '2xHDMI/DP/USB-C(65w)']",komplett.no/img/p/800/1171895.jpg,komplett.no/product/1171895/datautstyr/skjermer/skjermer/philips-27-skjerm-276b900?productList=notSet&position=107,komplett,skjermer
105,"Samsung 32"" 4K skjerm F32U870V",5489,,,50,"['3840x2160', 'VA', '8ms', '3000:1', 'HDR10', '2xHDMI/DP/Thunderbolt(92w)']",komplett.no/img/p/800/1178054.jpg,komplett.no/product/1178054/datautstyr/skjermer/skjermer/samsung-32-4k-skjerm-f32u870v?productList=notSet&position=108,komplett,skjermer
106,"LG 34"" skjerm 34WP550",3495,,,34,"['2560x1080', 'IPS', '5ms', '700:1', 'FreeSync', 'HDMI']",komplett.no/img/p/800/1205908.jpg,komplett.no/product/1205908/datautstyr/skjermer/skjermer/lg-34-skjerm-34wp550?productList=notSet&position=109,komplett,skjermer
107,"BenQ Zowie 27"" gamingskjerm XL2746K",7495,,,17,"['1920x1080', '240hz', '05ms', '1000:1', 'DyAc+', 'DP']",komplett.no/img/p/800/1211207.jpg,komplett.no/product/1211207/gaming/gaming-utstyr/gamingskjermer/benq-zowie-27-gamingskjerm-xl2746k?productList=notSet&position=110,komplett,skjermer
108,"ASUS 24"" skjerm ProArt PA247CV",3075,,,46,"['1920x1080', 'IPS', '75hz', '5ms', '1000:1', '100%rec.709', 'Daisy', 'chain', 'HDMI/2xDP/USB-C(65w)']",komplett.no/img/p/800/1212751.jpg,komplett.no/product/1212751/datautstyr/skjermer/skjermer/asus-24-skjerm-proart-pa247cv?productList=notSet&position=111,komplett,skjermer
109,"ASUS 16"" portabel skjerm MB166C",2629,,,50,"['1920x1080', 'IPS', '5ms', '800:1', 'USB-C']",komplett.no/img/p/800/1212752.jpg,komplett.no/product/1212752/datautstyr/skjermer/skjermer/asus-16-portabel-skjerm-mb166c?productList=notSet&position=112,komplett,skjermer
110,"BenQ 32"" skjerm PD3200Q",4949,,,11,"['2560x1440', '4ms', '20M:1', 'Speakers', 'VGA/DVI/HDMI/DP']",komplett.no/img/p/800/913893.jpg,komplett.no/product/913893/datautstyr/skjermer/skjermer/benq-32-skjerm-pd3200q?productList=notSet&position=113,komplett,skjermer
111,"ASUS 27"" gamingskjerm ROG Strix XG27AQM",9889,,,9,"['2560x1440', 'IPS', '270hz*', '0.5ms', '1000:1', 'HDR400', 'G-Sync', 'compatible', '2xHDMI']",komplett.no/img/p/800/1191012.jpg,komplett.no/product/1191012/gaming/gaming-utstyr/gamingskjermer/asus-27-gamingskjerm-rog-strix-xg27aqm?productList=notSet&position=114,komplett,skjermer
112,"Philips 27"" skjerm 276B9H/00",4949,,,34,"['2560x1440', 'IPS', '75hz', '4ms', '1000:1', 'WebCam', 'Speakers', 'HDMI/DP/USB-C(65w)']",komplett.no/img/p/800/1193783.jpg,komplett.no/product/1193783/datautstyr/skjermer/skjermer/philips-27-skjerm-276b9h00?productList=notSet&position=115,komplett,skjermer
113,"Philips 32"" 4K skjerm 328B1/00",5495,,,15,"['3840x2160', 'VA', '4ms', '3000:1', 'Spekers', '2xHDMI/DP']",komplett.no/img/p/800/1193785.jpg,komplett.no/product/1193785/datautstyr/skjermer/skjermer/philips-32-4k-skjerm-328b100?productList=notSet&position=116,komplett,skjermer
114,"Philips 27"" skjerm 276B1JH/00",6599,,,4,"['2560x1440', 'IPS', '75hz', '4ms', '1000:1', 'WebCam', 'Speakers', 'Daisy', 'chain', '2xHDMI/DP/USB-C']",komplett.no/img/p/800/1193786.jpg,komplett.no/product/1193786/datautstyr/skjermer/skjermer/philips-27-skjerm-276b1jh00?productList=notSet&position=117,komplett,skjermer
115,"Philips 32"" 4K skjerm 329P1H/00",8249,,,19,"['3840x2160', 'IPS', '4ms', '1000:1', 'WebCam', 'Speakers', '2xHDMI/DP/USB-C(90w)']",komplett.no/img/p/800/1193788.jpg,komplett.no/product/1193788/datautstyr/skjermer/skjermer/philips-32-4k-skjerm-329p1h00?productList=notSet&position=118,komplett,skjermer
116,"Philips 34"" Curved skjerm 346E2CUAE/00",5995,,,50,"['3440x1440', 'VA100hz', '1ms', '3000:1', 'Speakers', 'HDMI/DP/USB-C(65w)']",komplett.no/img/p/800/1193789.jpg,komplett.no/product/1193789/datautstyr/skjermer/skjermer/philips-34-curved-skjerm-346e2cuae00?productList=notSet&position=119,komplett,skjermer
117,"AOC 49"" Curved gamingskjerm AGON AG493UCX2",11995,,,5,"['5120x1440', 'VA', '165hz', '1ms', '3000:1', 'HDR400', 'FreeSync', '3xHDMI/DP/USB-C(65w)']",komplett.no/img/p/800/1196654.jpg,komplett.no/product/1196654/gaming/gaming-utstyr/gamingskjermer/aoc-49-curved-gamingskjerm-agon-ag493ucx2?productList=notSet&position=120,komplett,skjermer
118,"AOC 27"" Curved gamingskjerm C27G3U/BK",3839,,,7,"['1920x1080', 'VA', '165hz', '1ms', '3000:1', 'FreeSync', '2xHDMI/DP']",komplett.no/img/p/800/1196655.jpg,komplett.no/product/1196655/gaming/gaming-utstyr/gamingskjermer/aoc-27-curved-gamingskjerm-c27g3ubk?productList=notSet&position=121,komplett,skjermer
119,"AOC 24"" skjerm Q24V4EA",2305,,,15,"['2560x1440', 'IPS', '75hs', '4ms', '1000:1', 'Speakers', 'HDMI/DP']",komplett.no/img/p/800/1196658.jpg,komplett.no/product/1196658/datautstyr/skjermer/skjermer/aoc-24-skjerm-q24v4ea?productList=notSet&position=122,komplett,skjermer
120,"AOC 27"" 4K skjerm U27V4EA",3995,,,30,"['3840x2160', 'IPS', '4ms', '1000:1', 'Speakers', '2xHDMI/2xDP']",komplett.no/img/p/800/1196659.jpg,komplett.no/product/1196659/datautstyr/skjermer/skjermer/aoc-27-4k-skjerm-u27v4ea?productList=notSet&position=123,komplett,skjermer
121,"Philips 49"" Curved gamingskjerm 498P9Z/00",11495,,,23,"['5120x1440', 'VA', '165hz', '4ms', '3000:1', 'HDR400', 'Speakers', '3xHDMI/DP']",komplett.no/img/p/800/1196661.jpg,komplett.no/product/1196661/datautstyr/skjermer/skjermer/philips-49-curved-gamingskjerm-498p9z00?productList=notSet&position=124,komplett,skjermer
