,name,price_now,price_before,sale,available,stats,image,link,site,category
65,WD Black SN850  m/heatsink M.2 NVMe SSD 2TB,4849,5695.0,True,9,"['2', 'TB', 'intern', 'M.2', '2280', 'PCI', 'Express', '4.0', 'x4', '(NVMe)', 'PC', '&', 'PS5']",komplett.no/img/p/800/1191922.jpg,komplett.no/product/1191922/datautstyr/lagring/harddiskerssd/ssd-m2/wd-black-sn850-mheatsink-m2-nvme-ssd-2tb?productList=notSet&position=66,komplett,harddiskerssd
66,WD Black SN850 500GB NVMe SSD,1249,1499.0,True,12,"['500', 'GB', 'intern', 'M.2', '2280', 'PCI', 'Express', '4.0', 'x4', '(NVMe)']",komplett.no/img/p/800/1191925.jpg,komplett.no/product/1191925/datautstyr/lagring/harddiskerssd/ssd-m2/wd-black-sn850-500gb-nvme-ssd?productList=notSet&position=67,komplett,harddiskerssd
70,ICY BOX Protective case for Raspberry Pi 4,229,299.0,True,15,[],komplett.no/img/p/800/1162232.jpg,komplett.no/product/1162232/datautstyr/lagring/harddiskerssd/eksterne-kabinetter/icy-box-protective-case-for-raspberry-pi-4?productList=notSet&position=71,komplett,harddiskerssd
71,"ICY BOX, Ext. USB 3.0 Type-C® Enclosure for 2.5"" with keypad encryption",399,499.0,True,24,[],komplett.no/img/p/800/1193258.jpg,komplett.no/product/1193258/datautstyr/lagring/harddiskerssd/tilbehoer/icy-box-ext-usb-30-type-c-enclosure-for-25-with-keypad-encryption?productList=notSet&position=72,komplett,harddiskerssd
86,ICY BOX IB-287-C31 External HDD-Case,239,299.0,True,50,"['USB', '3.1', '(Gen', '2)', 'Type-C™', 'enclosure', 'for', '2.5""', 'SATA']",komplett.no/img/p/800/1076131.jpg,komplett.no/product/1076131/datautstyr/lagring/harddiskerssd/eksterne-kabinetter/icy-box-ib-287-c31-external-hdd-case?productList=notSet&position=87,komplett,harddiskerssd
100,ICY BOX USB 3.1 Harddisk kabinett 1x HDD/SSD,329,399.0,True,50,"['Multimedia-', 'og', 'spillbibliotek', 'på', 'farten', '-', 'kabinett', 'for', '25""', 'SSD']",komplett.no/img/p/800/1193261.jpg,komplett.no/product/1193261/datautstyr/lagring/harddiskerssd/tilbehoer/icy-box-usb-31-harddisk-kabinett-1x-hddssd?productList=notSet&position=101,komplett,harddiskerssd
177,ICY BOX Protective case for Raspberry Pi 4,149,199.0,True,0,[],komplett.no/img/p/800/1162229.jpg,komplett.no/product/1162229/datautstyr/lagring/harddiskerssd/eksterne-kabinetter/icy-box-protective-case-for-raspberry-pi-4?productList=notSet&position=178,komplett,harddiskerssd
184,ASUS ROG Strix Arion S500 M.2 Ekstern SSD,999,1345.0,True,50,"['ROG', 'Strix', 'Arion', 'S500', 'M.2', 'External', 'SSD', 'USB-C®', '3.2', 'Gen', '2', 'Type-C', '10Gbps', '500', 'GB', 'c']",komplett.no/img/p/800/1197732.jpg,komplett.no/product/1197732/datautstyr/lagring/harddiskerssd/tilbehoer/asus-rog-strix-arion-s500-m2-ekstern-ssd?productList=notSet&position=185,komplett,harddiskerssd
187,ICY BOX IB-M2HS-701 Heat Sink,79,99.0,True,50,"['Heat', 'sink', 'for', 'M.2', 'SSD']",komplett.no/img/p/800/1121615.jpg,komplett.no/product/1121615/datautstyr/lagring/harddiskerssd/tilbehoer/icy-box-ib-m2hs-701-heat-sink?productList=notSet&position=188,komplett,harddiskerssd
196,LaCie Rugged SSD 1TB NVMe USB-C IP67,3499,3799.0,True,8,"['USB', '3.0', 'USB-C', 'Thunderbolt', '3', 'IP67-classified', 'Drop', 'motstand', '3', 'm', 'Mac/Windows']",komplett.no/img/p/800/1140906.jpg,komplett.no/product/1140906/datautstyr/lagring/harddiskerssd/ssd-ekstern/lacie-rugged-ssd-1tb-nvme-usb-c-ip67?productList=notSet&position=197,komplett,harddiskerssd
197,Icy Box Backplane IB-2260SSK-12G,799,1199.0,True,3,"['6x', '2.5""', 'HDD/SSD', 'SATA/SAS', 'III']",komplett.no/img/p/800/1193248.jpg,komplett.no/product/1193248/datautstyr/lagring/harddiskerssd/dokkingstasjoner/icy-box-backplane-ib-2260ssk-12g?productList=notSet&position=198,komplett,harddiskerssd
203,Kingston KC600MS 1024GB mSATA SSD,1199,1490.0,True,0,"['mSATA', 'SATA', 'Rev.', '3.0', '(6Gb/s)', 'up', 'to', '550/520MB/s']",komplett.no/img/p/800/1184000.jpg,komplett.no/product/1184000/datautstyr/lagring/harddiskerssd/ssd-msata/kingston-kc600ms-1024gb-msata-ssd?productList=notSet&position=204,komplett,harddiskerssd
226,Icy Box Backplane IB-2242U2K,1399,1999.0,True,5,"['4x', 'U.2', '2.5""', 'NVMe', 'SSD', '(6-15', 'mm', 'high)', 'for', '1x', '5.25""', 'bay']",komplett.no/img/p/800/1193254.jpg,komplett.no/product/1193254/datautstyr/lagring/harddiskerssd/tilbehoer/icy-box-backplane-ib-2242u2k?productList=notSet&position=227,komplett,harddiskerssd
227,Akasa AK-ENU3M2-05 Portable SSD kabinett,499,799.0,True,50,"['Portable', 'M.2', 'SATA/NVMe', 'SSD', 'to', 'USB', '3.2', 'Gen', '2', 'Aluminium', 'Enclosure', '|', '10Gbps', 'Transfe']",komplett.no/img/p/800/1182941.jpg,komplett.no/product/1182941/datautstyr/lagring/harddiskerssd/tilbehoer/akasa-ak-enu3m2-05-portable-ssd-kabinett?productList=notSet&position=228,komplett,harddiskerssd
229,ST Lab USB 3.0 to SATA 6G,299,449.0,True,18,"['for', 'all', 'SATA', '2.5""/3.5""', 'devices', 'One', 'Touch', 'Backup', 'up', 'to', '6Gbps']",komplett.no/img/p/800/911711.jpg,komplett.no/product/911711/datautstyr/lagring/harddiskerssd/tilbehoer/st-lab-usb-30-to-sata-6g?productList=notSet&position=230,komplett,harddiskerssd
