,name,price_now,price_before,sale,available,stats,image,link,site,category
27,Phanteks Sleeved Cable Extension (sort),349,,,50,"['Universale', 'kabler', 'kobles', 'på', 'dine', 'nåværende', 'kabler']",komplett.no/img/p/800/915621.jpg,komplett.no/product/915621/datautstyr/pc-komponenter/casemods/stroemforsyning/phanteks-sleeved-cable-extension-sort?productList=notSet&position=28,komplett,stroemforsyning
28,Phanteks Sleeved Cable Extension (rod),349,,,6,"['Universale', 'kabler', 'kobles', 'på', 'dine', 'nåværende', 'kabler']",komplett.no/img/p/800/915627.jpg,komplett.no/product/915627/datautstyr/pc-komponenter/casemods/stroemforsyning/phanteks-sleeved-cable-extension-roed?productList=notSet&position=29,komplett,stroemforsyning
29,Cooler Master MWE Bronze V2 750W,849,,,46,"['ATX', '12V', '80', 'PLUS', 'Bronze', 'Non', 'Modular', 'A/EU', 'Cable']",komplett.no/img/p/800/1135157.jpg,komplett.no/product/1135157/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-mwe-bronze-v2-750w?productList=notSet&position=30,komplett,stroemforsyning
30,Corsair Professional Sleeved Cable White,1349,,,5,"['AXi/AX/HX/HXi/TXM/CXM/CSM/RM', '2x', '4+4', 'pin', 'ATX/EPS6x', '6+2', 'pin', 'PCIe4xSATA', '3xMolex']",komplett.no/img/p/800/777835.jpg,komplett.no/product/777835/datautstyr/pc-komponenter/casemods/stroemforsyning/corsair-professional-sleeved-cable-white?productList=notSet&position=31,komplett,stroemforsyning
31,"Corsair RM750x, 750W Hvit PSU",1249,,,50,"['ATX', '12V', 'v2.4', '80', 'PLUS', 'Gold', 'Modulær', '4x', '6+2-pin', 'PCIe', '8x', 'SATA', '8x', 'Molex']",komplett.no/img/p/800/1097975.jpg,komplett.no/product/1097975/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-rm750x-750w-hvit-psu?productList=notSet&position=32,komplett,stroemforsyning
32,Seasonic Core GC 500 500W PSU,719,,,0,"['ATX', '12V', '80', 'PLUS', 'Gold', 'Standard', '2x', '6+2pin', 'PCIe', '1x', 'CPU', '4x', 'SATA']",komplett.no/img/p/800/1136575.jpg,komplett.no/product/1136575/datautstyr/pc-komponenter/stroemforsyning/enheter/seasonic-core-gc-500-500w-psu?productList=notSet&position=33,komplett,stroemforsyning
33,Cooler Master MWE Gold 850 V2 PSU,1249,,,0,"['ATX', '12V', '80', 'PLUS', 'Gold', 'Fully', 'Modular', '4x', '6+2-pin', 'PCIe']",komplett.no/img/p/800/1176417.jpg,komplett.no/product/1176417/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-mwe-gold-850-v2-psu?productList=notSet&position=34,komplett,stroemforsyning
34,Cooler Master MWE Gold 750 V2 PSU,999,,,0,"['ATX', '12V', '80', 'PLUS', 'Gold', 'Fully', 'Modular', '4x', '6+2-pin', 'PCIe']",komplett.no/img/p/800/1176419.jpg,komplett.no/product/1176419/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-mwe-gold-750-v2-psu?productList=notSet&position=35,komplett,stroemforsyning
35,Cooler Master Elite 500 230v V4 PSU,559,,,50,"['ATX', '12V', 'Ver.', '2.41', '80', 'PLUS', 'Standard', '230V', 'EU']",komplett.no/img/p/800/1181842.jpg,komplett.no/product/1181842/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-elite-500-230v-v4-psu?productList=notSet&position=36,komplett,stroemforsyning
36,"Corsair HX1200, 1200W PSU",2799,,,3,"['ATX', '12V', 'V2.4', '80', 'PLUS', 'Platinum', 'Modular', '6x', '6+2-pin', 'PCIe', '16x', 'SATA', '12x', 'Molex']",komplett.no/img/p/800/919621.jpg,komplett.no/product/919621/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-hx1200-1200w-psu?productList=notSet&position=37,komplett,stroemforsyning
37,Cooler Master V750 Gold - V2 PSU,1149,,,50,"['ATX', '12V', 'V2.52', '80', 'PLUS', 'Gold', 'Full', 'Modular']",komplett.no/img/p/800/1183508.jpg,komplett.no/product/1183508/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-v750-gold-v2-psu?productList=notSet&position=38,komplett,stroemforsyning
38,Cooler Master MWE 650 Bronze - V2 230V PSU,639,,,6,"['ATX', '12V', 'V2.52', '80', 'PLUS', 'Bronze', 'EU', 'ikke-modulær']",komplett.no/img/p/800/1183509.jpg,komplett.no/product/1183509/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-mwe-650-bronze-v2-230v-psu?productList=notSet&position=39,komplett,stroemforsyning
39,"Seasonic Focus GX 550, 550W PSU",1049,,,0,"['ATX', '12V', '80', 'PLUS', 'Gold', 'Modular', '2x', '6+2pin', 'PCIe', '1x', 'CPU', '10x', 'SATA']",komplett.no/img/p/800/1136576.jpg,komplett.no/product/1136576/datautstyr/pc-komponenter/stroemforsyning/enheter/seasonic-focus-gx-550-550w-psu?productList=notSet&position=40,komplett,stroemforsyning
40,"Corsair SF600, 600W PSU SFX Form Factor",999,1390.0,True,3,"['ATX', '12V', 'v2.4', '4x4pin', '2x6+2pin', '4xSATA', 'Fully', 'Modular']",komplett.no/img/p/800/886745.jpg,komplett.no/product/886745/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-sf600-600w-psu-sfx-form-factor?productList=notSet&position=41,komplett,stroemforsyning
41,"Corsair CX450M, 450W PSU",739,,,31,"['ATX', '12V', 'v2.4', '80', 'Plus', 'Bronze', 'Semi', 'Modular', '2x', '6+2-pin', 'PCIe', '4x', 'SATA']",komplett.no/img/p/800/876231.jpg,komplett.no/product/876231/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-cx450m-450w-psu?productList=notSet&position=42,komplett,stroemforsyning
42,"ASUS ROG Strix 1000, 1000W PSU",1849,,,0,"['ATX', '12V', '80', 'PLUS', 'Gold', 'Modular', '6x', '6+2', 'pin', 'PCIe', '8x', 'SATA']",komplett.no/img/p/800/1168431.jpg,komplett.no/product/1168431/datautstyr/pc-komponenter/stroemforsyning/enheter/asus-rog-strix-1000-1000w-psu?productList=notSet&position=43,komplett,stroemforsyning
43,Phanteks Revolt X 1000W PSU,2749,,,0,"['ATX', '12V', 'v2.4', '80', 'PLUS', 'Platinum', 'Modular', 'Power', 'Combo']",komplett.no/img/p/800/1121632.jpg,komplett.no/product/1121632/datautstyr/pc-komponenter/stroemforsyning/enheter/phanteks-revolt-x-1000w-psu?productList=notSet&position=44,komplett,stroemforsyning
44,Phanteks Revolt Pro 1000W PSU,1949,,,0,"['ATX', '12V', 'v2.4', '80', 'PLUS', 'Gold', 'Modular', 'Power', 'Combo']",komplett.no/img/p/800/1121631.jpg,komplett.no/product/1121631/datautstyr/pc-komponenter/stroemforsyning/enheter/phanteks-revolt-pro-1000w-psu?productList=notSet&position=45,komplett,stroemforsyning
45,Cooler Master V550 SFX Gold 550W PSU,749,1190.0,True,50,"['ATX', '12V', 'V2.52', '80', 'PLUS', 'Gold', 'Modular', 'SFX', '1x', '4x4', 'CPU', '4x', '6+2pin', '8x', 'SATA']",komplett.no/img/p/800/1173621.jpg,komplett.no/product/1173621/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-v550-sfx-gold-550w-psu?productList=notSet&position=46,komplett,stroemforsyning
46,Seasonic G12-GC-750 PSU,1099,,,3,"['ATX', '12', 'V', 'Fixed', 'cables', '80', 'PLUS', 'Gold', 'Certified', 'S2FC', '-', 'Smart', 'and', 'Silent', 'Fan', 'Cont']",komplett.no/img/p/800/1177694.jpg,komplett.no/product/1177694/datautstyr/pc-komponenter/stroemforsyning/enheter/seasonic-g12-gc-750-psu?productList=notSet&position=47,komplett,stroemforsyning
47,Chieftec GPX-850FC 850W PSU,1349,,,0,"['ATX', '12V', 'v2-53', '80', 'PLUS', 'Gold', 'Fully', 'Modular', '6x', '6+2-pin', 'PCIe', '9x', 'SATA']",komplett.no/img/p/800/1175411.jpg,komplett.no/product/1175411/datautstyr/pc-komponenter/stroemforsyning/enheter/chieftec-gpx-850fc-850w-psu?productList=notSet&position=48,komplett,stroemforsyning
48,"MSI MPG A850GF, 850W PSU",1649,,,0,"['ATX', '12V', '80', 'PLUS', 'GOLD', 'Fully-Modular']",komplett.no/img/p/800/1171790.jpg,komplett.no/product/1171790/datautstyr/pc-komponenter/stroemforsyning/enheter/msi-mpg-a850gf-850w-psu?productList=notSet&position=49,komplett,stroemforsyning
49,Cooler Master MasterWatt 550,999,,,0,"['ATX', '12V', 'Bronze', '1x', '4+4', 'CPU', '2x', '6+2pin', 'PCIe', '6x', 'SATA', '2x', 'Molex', '1x', 'FD']",komplett.no/img/p/800/1062019.jpg,komplett.no/product/1062019/datautstyr/pc-komponenter/stroemforsyning/enheter/cooler-master-masterwatt-550?productList=notSet&position=50,komplett,stroemforsyning
50,"Corsair TX850M, 850W PSU",1649,,,0,"['ATX', '12V', 'v2-4', '80', 'PLUS', 'Gold', 'Semi', 'Modular', '6+2-pin', 'PCIe']",komplett.no/img/p/800/915834.jpg,komplett.no/product/915834/datautstyr/pc-komponenter/stroemforsyning/enheter/corsair-tx850m-850w-psu?productList=notSet&position=51,komplett,stroemforsyning
