,name,price_now,price_before,sale,stats,available,image,link,site
15,"Samsung 65"" 4K Neo QLED TV QE65QN90",12990,21990.0,True,"['Neo', 'QLED', '4K', '120', 'Hz', 'Gaming', 'TV', 'med', 'Antirefleks', 'og', 'Quantum', 'Mini', 'LED']",20+ stk. paa lager.,komplett.no/img/p/800/1183239,komplett.no/product/1183239/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-neo-qled-tv-qe65qn90?productList=notSet&position=16,komplett
16,"Samsung 55"" 4K Crystal Color TV UE55AU8005",6990,,,"['4K', 'HDR', 'Airslim', 'Motion', 'Xcelerator', 'Dynamic', 'Crystal', 'Color']",20+ stk. paa lager.,komplett.no/img/p/800/1183234,komplett.no/product/1183234/tv-lyd-bilde/tv-video/tv-er/samsung-55-4k-crystal-color-tv-ue55au8005?productList=notSet&position=17,komplett
17,"Philips 55"" 4K UHD Ambilight TV 55PUS7906/12",5990,,,"['4K', 'UHD', '3-side', 'Ambilight', 'Android', 'TV', 'Dolby', 'Vision', 'and', 'Dolby', 'Atmos']",10 stk. paa lager.,komplett.no/img/p/800/1188701,komplett.no/product/1188701/tv-lyd-bilde/tv-video/tv-er/philips-55-4k-uhd-ambilight-tv-55pus790612?productList=notSet&position=18,komplett
18,"Philips 58"" 4K UHD Ambilight TV 58PUS8546/12",9990,,,"['4K', 'UHD', 'LED', '3-side', 'Ambilight', 'Android', 'TV', 'P5', 'Perfect', 'Picture', 'Engine']",10 stk. paa lager.,komplett.no/img/p/800/1188695,komplett.no/product/1188695/tv-lyd-bilde/tv-video/tv-er/philips-58-4k-uhd-ambilight-tv-58pus854612?productList=notSet&position=19,komplett
19,"Samsung 32"" HD Smart TV UE32T4305",2899,,,"['HD', 'HDR', 'Smart', 'TV']",20+ stk. paa lager.,komplett.no/img/p/800/1157276,komplett.no/product/1157276/tv-lyd-bilde/tv-video/tv-er/samsung-32-hd-smart-tv-ue32t4305?productList=notSet&position=20,komplett
20,"Philips 55"" 4K UHD TV 55PUS9206/12",16990,,,"['4K', 'UHD', 'LED', '4K', '120', 'Hz', 'Gaming', 'TV', 'P5', 'Perfect', 'Picture', 'Engine', 'Dolby', 'Atmos', 'sound']",6 stk. paa lager.,komplett.no/img/p/800/1188705,komplett.no/product/1188705/tv-lyd-bilde/tv-video/tv-er/philips-55-4k-uhd-tv-55pus920612?productList=notSet&position=21,komplett
21,"Samsung 85"" 4K QLED TV QE85Q80",37990,,,"['QLED', '120', 'Hz', 'Gaming', 'TV', 'med', 'Direct', 'Full', 'Array', 'som', 'sikrer', 'kvalitet', 'uansett', 'lys']",20+ stk. paa lager.,komplett.no/img/p/800/1201343,komplett.no/product/1201343/tv-lyd-bilde/tv-video/tv-er/samsung-85-4k-qled-tv-qe85q80?productList=notSet&position=22,komplett
22,"LG 48"" OLED 4K TV OLED48C1",9990,,,"['Ultratynn', 'OLED', 'WebOS', '4K', '120', 'Hz', 'Gaming', 'TV']",Ikke paa lager. 20+ stk. Ubekreftet 31.mai.2022,komplett.no/img/p/800/1185796,komplett.no/product/1185796/tv-lyd-bilde/tv-video/tv-er/lg-48-oled-4k-tv-oled48c1?productList=notSet&position=23,komplett
23,"Philips 70"" 4K UHD Ambilight TV 70PUS7906/12",7990,9990.0,True,"['4K', 'UHD', '3-side', 'Ambilight', 'Android', 'TV', 'Dolby', 'Vision', 'and', 'Dolby', 'Atmos']",Ikke paa lager. 19 stk. forventes sendingsklare 1.jun..2022 (usikker dato),komplett.no/img/p/800/1188682,komplett.no/product/1188682/tv-lyd-bilde/tv-video/tv-er/philips-70-4k-uhd-ambilight-tv-70pus790612?productList=notSet&position=24,komplett
24,"Finlux 32"" Smart TV",3990,,,"['Android', '12', 'v', 'WiFi', 'Bluetooth', 'VESA', '100', 'x', '200mm']",5 stk. paa lager.,komplett.no/img/p/800/1181795,komplett.no/product/1181795/tv-lyd-bilde/tv-video/tv-er/finlux-32-smart-tv?productList=notSet&position=25,komplett
25,"Samsung 50"" 4K Neo QLED TV QE50QN90",11990,,,"['Neo', 'QLED', '4K', '120', 'Hz', 'Gaming', 'TV', 'med', 'Antirefleks', 'og', 'Quantum', 'Mini', 'LED']",20+ stk. paa lager.,komplett.no/img/p/800/1183231,komplett.no/product/1183231/tv-lyd-bilde/tv-video/tv-er/samsung-50-4k-neo-qled-tv-qe50qn90?productList=notSet&position=26,komplett
26,"Samsung 65"" 4K HDR TV UE65TU6905+Soundbar",6990,9980.0,True,"['Imponerende', 'skarphet', 'og', 'fargegjengivelse.', 'Inkluderer', 'Samsung', 'Soundbar', 'HW-A440/XE']",20+ stk. paa lager.,komplett.no/img/p/800/1191298,komplett.no/product/1191298/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-hdr-tv-ue65tu6905soundbar?productList=notSet&position=27,komplett
27,"Samsung 65"" 4K QLED TV QE65Q70",9990,11990.0,True,"['QLED', '4K', '120', 'Hz', 'Gaming', 'TV', 'Quantum', 'HDR', 'Airslim']",20+ stk. paa lager.,komplett.no/img/p/800/1183244,komplett.no/product/1183244/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-qled-tv-qe65q70?productList=notSet&position=28,komplett
28,"LG 55"" Nanocell 4K TV 55NANO75",5990,,,"['Rene', 'farger', 'gir', 'fantastiske', 'bilder', 'med', '4K', 'NanoCell', 'Web', 'OS']",20+ stk. paa lager.,komplett.no/img/p/800/1185825,komplett.no/product/1185825/tv-lyd-bilde/tv-video/tv-er/lg-55-nanocell-4k-tv-55nano75?productList=notSet&position=29,komplett
29,"Samsung 55"" 4K QLED TV QE55Q70",7990,,,"['QLED', '4K', '120', 'Hz', 'Gaming', 'TV', 'Quantum', 'HDR', 'Airslim']",20+ stk. paa lager.,komplett.no/img/p/800/1183241,komplett.no/product/1183241/tv-lyd-bilde/tv-video/tv-er/samsung-55-4k-qled-tv-qe55q70?productList=notSet&position=30,komplett
30,"LG 55"" OLED 4K TV OLED55B1",9490,,,"['Ultratynn', 'OLED', 'WebOS', '4K', '120', 'Hz', 'Gaming', 'TV']",20+ stk. paa lager.,komplett.no/img/p/800/1185798,komplett.no/product/1185798/tv-lyd-bilde/tv-video/tv-er/lg-55-oled-4k-tv-oled55b1?productList=notSet&position=31,komplett
31,"Samsung 85"" The Frame 4K TV QE85LS03 + Lydplanke",44990,47980.0,True,"['Inkl.', 'Samsung', 'Soundbar', 'HW-S56']",1 stk. paa lager.,komplett.no/img/p/800/1213529,komplett.no/product/1213529/tv-lyd-bilde/tv-video/tv-er/samsung-85-the-frame-4k-tv-qe85ls03-lydplanke?productList=notSet&position=32,komplett
32,"Samsung 75"" The Frame 4K TV QE75LS03 + Lydplanke",29990,32980.0,True,"['Inkl.', 'Samsung', 'Soundbar', 'HW-S56']",2 stk. paa lager.,komplett.no/img/p/800/1213528,komplett.no/product/1213528/tv-lyd-bilde/tv-video/tv-er/samsung-75-the-frame-4k-tv-qe75ls03-lydplanke?productList=notSet&position=33,komplett
33,"Samsung 65"" 8K Neo QLED TV QE65QN800",22990,29990.0,True,"['Neo', 'QLED', '8K', 'Quantum', 'Mini', 'LED', '8K', 'AI', 'Upscaling', '4K', '120', 'Hz', 'Gaming', 'TV']",20+ stk. paa lager.,komplett.no/img/p/800/1183235,komplett.no/product/1183235/tv-lyd-bilde/tv-video/tv-er/samsung-65-8k-neo-qled-tv-qe65qn800?productList=notSet&position=34,komplett
