,name,price_now,price_before,sale,available,stats,image,link,site,category
136,Corsair Hydro X Fitting Adapter 45°,335.0,,,1,"['XF', '45°', 'Rotary', 'Adapter', '2-Pack', 'Hvit']",komplett.no/img/p/800/1129853.jpg,komplett.no/product/1129853/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vannkjoeling/corsair-hydro-x-fitting-adapter-45?productList=notSet&position=137,komplett,vannkjoeling
137,Corsair Hydro X Fitting Adapter 90°,249.0,,,3,"['XF', '90°', 'Rotary', 'Adapter', '2-Pack', 'Sort']",komplett.no/img/p/800/1129861.jpg,komplett.no/product/1129861/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vannkjoeling/corsair-hydro-x-fitting-adapter-90?productList=notSet&position=138,komplett,vannkjoeling
138,Corsair Hydro X Fitting Kuleventil,219.0,,,19,"['To-trinns', 'ventil', 'Sort']",komplett.no/img/p/800/1129876.jpg,komplett.no/product/1129876/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vannkjoeling/corsair-hydro-x-fitting-kuleventil?productList=notSet&position=139,komplett,vannkjoeling
139,Corsair Hydro X Fitting Fill port,219.0,,,9,"['XF', 'Adapter', 'Fill', 'Port', 'Sort']",komplett.no/img/p/800/1129884.jpg,komplett.no/product/1129884/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vannkjoeling/corsair-hydro-x-fitting-fill-port?productList=notSet&position=140,komplett,vannkjoeling
140,Cooler Master SickleFlow 120 Blaa,156.0,,,9,"['120x120x25mm', '650-1800', 'RPM', '±10%', '62', 'CFM', '8-27', 'dBA', '4-Pin', '(PWM)']",komplett.no/img/p/800/1154889.jpg,komplett.no/product/1154889/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/cooler-master-sickleflow-120-blaa?productList=notSet&position=141,komplett,vannkjoeling
141,Cooler Master SickleFlow 120 Rod,209.0,,,9,"['120x120x25mm', '650-1800', 'RPM', '±10%', '62', 'CFM', '8-27', 'dBA', '4-Pin', '(PWM)']",komplett.no/img/p/800/1154898.jpg,komplett.no/product/1154898/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/cooler-master-sickleflow-120-roed?productList=notSet&position=142,komplett,vannkjoeling
142,Cooler Master SickleFlow 120 Hvit,219.0,,,18,"['120x120x25mm', '650-1800', 'RPM', '±10%', '62', 'CFM', '8-27', 'dBA', '4-Pin', '(PWM)']",komplett.no/img/p/800/1154909.jpg,komplett.no/product/1154909/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/cooler-master-sickleflow-120-hvit?productList=notSet&position=143,komplett,vannkjoeling
143,Phanteks SK 140 DRGB PWM Fan,179.0,,,5,"['140mm', '4', 'Pin', 'PWM', 'Fan', 'D-RGB']",komplett.no/img/p/800/1167847.jpg,komplett.no/product/1167847/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/phanteks-sk-140-drgb-pwm-fan?productList=notSet&position=144,komplett,vannkjoeling
144,Phanteks SK 120 PWM Fan Black,98.0,,,3,"['120mm', '4', 'Pin', 'PWM', 'Fan', 'Black']",komplett.no/img/p/800/1167848.jpg,komplett.no/product/1167848/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/phanteks-sk-120-pwm-fan-black?productList=notSet&position=145,komplett,vannkjoeling
145,Cooler Master Triden Fan Cable,209.0,,,32,"['1-to-3', 'RGB', 'Splitter', 'Cable', '58', 'cm']",komplett.no/img/p/800/924928.jpg,komplett.no/product/924928/datautstyr/pc-komponenter/casemods/tilbehoer/cooler-master-triden-fan-cable?productList=notSet&position=146,komplett,vannkjoeling
146,Corsair iCUE SP140 RGB ELITE Hvit Vifte,349.0,,,1,"['140mm', 'x', '25mm', '300', '-', '1200', '±10%', 'RPM', '27', 'dBA']",komplett.no/img/p/800/1189293.jpg,komplett.no/product/1189293/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/corsair-icue-sp140-rgb-elite-hvit-vifte?productList=notSet&position=147,komplett,vannkjoeling
147,Corsair iCUE Hvit SP120 RGB ELITE 120mm Vifte,349.0,,,7,"['120mm', 'x', '25mm', '400', '–', '1500', '±10%', 'RPM', '28', 'dBA']",komplett.no/img/p/800/1189294.jpg,komplett.no/product/1189294/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/corsair-icue-hvit-sp120-rgb-elite-120mm-vifte?productList=notSet&position=148,komplett,vannkjoeling
148,NZXT Aer RGB2 120mm Vifte Starter Pack Sort,1049.0,,,25,"['3x', 'Aer', 'RGB', '2', '120mm', 'vifter', 'med', 'Vifte', 'Kontroller']",komplett.no/img/p/800/1192814.jpg,komplett.no/product/1192814/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/nzxt-aer-rgb2-120mm-vifte-starter-pack-sort?productList=notSet&position=149,komplett,vannkjoeling
149,NZXT Aer RGB2 140mm Vifte Starter Pack Sort,923.0,,,36,"['2x', 'Aer', 'RGB', '2', '140mm', 'vifter', 'med', 'Vifte', 'Kontroller']",komplett.no/img/p/800/1192817.jpg,komplett.no/product/1192817/datautstyr/pc-komponenter/vifterkjoelingvannkjoeling/vifter/nzxt-aer-rgb2-140mm-vifte-starter-pack-sort?productList=notSet&position=150,komplett,vannkjoeling
