,name,price_now,price_before,sale,available,stats,image,link,site,category
21,"Beko BDUN38K640X Integrert Oppvaskmaskin, Full storrelse (staal)",7490,,,10,"['Integrert', '42', 'dBA', '82x60x57cm', 'SelFit®', 'Flyttbar', 'bestikkurv', 'SteamGloss®']",komplett.no/img/p/800/1202581.jpg,komplett.no/product/1202581/hvitevarer/oppvaskmaskiner/beko-bdun38k640x-integrert-oppvaskmaskin-full-stoerrelse-staal?productList=notSet&position=22,komplett,oppvaskmaskiner
22,Asko DFI676GXXL Oppvaskmaskin (integrert),16990,,,0,"['Fullintegrert', '39db', '17', 'kuverter', '4', 'kurver', 'Turbo', 'drying', 'Passer', 'til', 'IKEA']",komplett.no/img/p/800/1125745.jpg,komplett.no/product/1125745/hvitevarer/oppvaskmaskiner/asko-dfi676gxxl-oppvaskmaskin-integrert?productList=notSet&position=23,komplett,oppvaskmaskiner
23,ASKO Oppvaskmaskin DBI444IB.W/1 (hvit),8990,,,0,"['innebygd', '42db', '14', 'Kuverter', '3', 'kurver', '7', 'program', 'Turbo', 'Drying']",komplett.no/img/p/800/1133518.jpg,komplett.no/product/1133518/hvitevarer/oppvaskmaskiner/asko-oppvaskmaskin-dbi444ibw1-hvit?productList=notSet&position=24,komplett,oppvaskmaskiner
24,Bosch SMV6ZCX42E Helintegrert Oppvaskmaskin,18990,,,0,"['Serie', '6', '60cm', 'BI']",komplett.no/img/p/800/1174068.jpg,komplett.no/product/1174068/hvitevarer/oppvaskmaskiner/bosch-smv6zcx42e-helintegrert-oppvaskmaskin?productList=notSet&position=25,komplett,oppvaskmaskiner
25,Bosch SMU4EAI14S Oppvaskmaskin (staal),11721,,,0,"['Underbygget', 'Serie', '4', '60', 'cm']",komplett.no/img/p/800/1174069.jpg,komplett.no/product/1174069/hvitevarer/oppvaskmaskiner/bosch-smu4eai14s-oppvaskmaskin-staal?productList=notSet&position=26,komplett,oppvaskmaskiner
26,Bosch SMU4HAI48S Oppvaskmaskin (staal),7395,,,0,"['Underbygget', '44dB', '13', 'kuverter', '2', 'kurver', 'Serie', '4']",komplett.no/img/p/800/1174070.jpg,komplett.no/product/1174070/hvitevarer/oppvaskmaskiner/bosch-smu4hai48s-oppvaskmaskin-staal?productList=notSet&position=27,komplett,oppvaskmaskiner
27,Bosch SMU4HAW48S Oppvaskmaskin (hvit),6895,,,0,"['Underbygget', 'Serie', '4', '60cm']",komplett.no/img/p/800/1174071.jpg,komplett.no/product/1174071/hvitevarer/oppvaskmaskiner/bosch-smu4haw48s-oppvaskmaskin-hvit?productList=notSet&position=28,komplett,oppvaskmaskiner
28,Miele G 7277 SCVi XXL Fullintegrert oppvaskmaskin (staal),16099,,,0,"['Fullt', 'integrert', 'oppvaskmaskin', '3D', 'MultiFlex', '-boks', 'for', 'maksimal', 'komfort.']",komplett.no/img/p/800/1197120.jpg,komplett.no/product/1197120/hvitevarer/oppvaskmaskiner/miele-g-7277-scvi-xxl-fullintegrert-oppvaskmaskin-staal?productList=notSet&position=29,komplett,oppvaskmaskiner
29,Miele G 7222 SCU CLST Innebygd oppvaskmaskin (staal),14990,,,0,"['EcoPower-teknologi', '3D-MultiFlex-skuff', 'QuickPowerWash', 'Innebygd']",komplett.no/img/p/800/1197121.jpg,komplett.no/product/1197121/hvitevarer/oppvaskmaskiner/miele-g-7222-scu-clst-innebygd-oppvaskmaskin-staal?productList=notSet&position=30,komplett,oppvaskmaskiner
30,Siemens SN43HI52AS Integrert Oppvaskmaskin,11190,,,0,"['energiklasse', 'D', '13', 'kuverter', '60x57x82', 'Rustfritt', 'stål', 'rustfritt', 'stål', '/', 'sølv']",komplett.no/img/p/800/1203780.jpg,komplett.no/product/1203780/hvitevarer/oppvaskmaskiner/siemens-sn43hi52as-integrert-oppvaskmaskin?productList=notSet&position=31,komplett,oppvaskmaskiner
31,Siemens SN43HW52AS Integrert Oppvaskmaskin (hvit),10390,,,0,"['Energiklasse', 'D', '13', 'kuverter', '60x57x82', 'Rustfritt', 'stål']",komplett.no/img/p/800/1203781.jpg,komplett.no/product/1203781/hvitevarer/oppvaskmaskiner/siemens-sn43hw52as-integrert-oppvaskmaskin-hvit?productList=notSet&position=32,komplett,oppvaskmaskiner
32,Miele G 5430 SCU BRWS Oppvaskmaskin (hvit),8990,,,0,"['Rett', 'panel', 'Comfort', 'kurvinnr.', 'Bestikkskuff', '5', 'Programmer', '46', 'dB']",komplett.no/img/p/800/1161469.jpg,komplett.no/product/1161469/hvitevarer/oppvaskmaskiner/miele-g-5430-scu-brws-oppvaskmaskin-hvit?productList=notSet&position=33,komplett,oppvaskmaskiner
33,Miele G 7272 SCVi Fullt integrert oppvaskmaskin (staal),19990,,,0,"['Fullt', 'integrert', 'oppvaskmaskin', '3D', 'MultiFlex', '-skuff', 'for', 'maksimal', 'komfort.']",komplett.no/img/p/800/1197119.jpg,komplett.no/product/1197119/hvitevarer/oppvaskmaskiner/miele-g-7272-scvi-fullt-integrert-oppvaskmaskin-staal?productList=notSet&position=34,komplett,oppvaskmaskiner
34,Bosch 2 serie Oppvaskmaskin (staal),8499,,,0,"['Serie', '2', '60cm', 'Wifi', 'justerbare', 'oppvaskmaskinkurver']",komplett.no/img/p/800/1205024.jpg,komplett.no/product/1205024/hvitevarer/oppvaskmaskiner/bosch-2-serie-oppvaskmaskin-staal?productList=notSet&position=35,komplett,oppvaskmaskiner
35,Bosch 2 serie Oppvaskmaskin (hvit),8399,,,0,"['Serie', '2', '60cm', 'Wifi', 'justerbare', 'oppvaskmaskinkurver', 'Hvit']",komplett.no/img/p/800/1205025.jpg,komplett.no/product/1205025/hvitevarer/oppvaskmaskiner/bosch-2-serie-oppvaskmaskin-hvit?productList=notSet&position=36,komplett,oppvaskmaskiner
36,Scandomestic SFO 101 Benkoppvaskmaskin (hvit / sort),3649,,,0,"['2', 'Kuverer', 'Vanntank', 'og', 'vanntilkobling']",komplett.no/img/p/800/1174271.jpg,komplett.no/product/1174271/hvitevarer/oppvaskmaskiner/scandomestic-sfo-101-benkoppvaskmaskin-hvit-sort?productList=notSet&position=37,komplett,oppvaskmaskiner
37,Asko oppvaskmaskin DFI655GXXL,12515,,,0,"['Fullintegrert', '40dB', '15', 'kuverter', '4', 'kurver', 'Turbo', 'drying']",komplett.no/img/p/800/1146978.jpg,komplett.no/product/1146978/hvitevarer/oppvaskmaskiner/asko-oppvaskmaskin-dfi655gxxl?productList=notSet&position=38,komplett,oppvaskmaskiner
