,name,price,age,location,image,link,store,category
0,Vaskemaskin Blomberg (Ny) BWX274W2 - Solid og meget enkel i bruk,3900.0,6. mai 2022,Moss,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/06/5/257/318/975_298223197.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=257318975,finn,0.22054_7
1,vaskemaskin RESERVERT,,28. mai 2022,Vollen,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/28/2/260/185/092_826458384.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260185092,finn,0.22054_7
2,Vaskemaskin med feil,,28. mai 2022,Asker,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/28/8/260/146/898_1201042859.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260146898,finn,0.22054_7
3,AEG vaskemaskin  selges rimelig,750.0,28. mai 2022,Heggedal,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/28/0/260/144/770_302251007.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260144770,finn,0.22054_7
4,vaskemaskin,1500.0,28. mai 2022,Ski,https://images.finncdn.no/dynamic/480x480c/2022/5/vertical-0/28/8/260/131/478_289812717.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260131478,finn,0.22054_7
5,Vaskemaskin Indesit WMD 742,1500.0,10. mai 2022,Hosle,https://images.finncdn.no/dynamic/480x640c/2021/11/vertical-0/28/5/240/233/965_1243264190.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=240233965,finn,0.22054_7
6,Electrolux vaskemaskin,15000.0,10. mai 2022,Ytre Enebakk,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/10/1/257/864/111_290588858.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=257864111,finn,0.22054_7
7,Miele Vaskemaskin novotronic W 1514,1999.0,10. mai 2022,Slattum,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/10/4/257/845/284_1441783133.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=257845284,finn,0.22054_7
8,tørket,2500.0,27. mai 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/27/1/260/075/911_1386593516.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260075911,finn,0.22054_7
9,HiSense vaskemaskin brukt i 2 uker! 9 KG,5000.0,27. mai 2022,Gan,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/27/8/260/064/628_596292922.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260064628,finn,0.22054_7
10,10-15 ganger brukt vaskemaskin! BOSCH,1900.0,27. mai 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/27/0/260/054/050_1213316542.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260054050,finn,0.22054_7
11,Tørkemaskin,350.0,9. mai 2022,Lørenskog,https://images.finncdn.no/dynamic/480x360c/2021/12/vertical-0/27/8/242/841/748_1966893959.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=242841748,finn,0.22054_7
12,Samsung stableramme,500.0,9. mai 2022,Rykkinn,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/09/5/257/765/055_395254410.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=257765055,finn,0.22054_7
13,vaskemaskin ønskes kjøpt,,26. mai 2022,Krokstadelva,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/26/0/259/958/930_515299413.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259958930,finn,0.22054_7
14,AEG Vaskemaskin Virker ikke som den skal,,26. mai 2022,Frogner,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/26/2/259/901/882_309996619.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259901882,finn,0.22054_7
15,Miele vaskemaskin,2500.0,8. mai 2022,Maura,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/08/5/257/587/875_959250019.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=257587875,finn,0.22054_7
16,Vaskemaskin AEG,500.0,Solgt,Dal,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/08/8/257/569/528_973258489.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=257569528,finn,0.22054_7
17,Vaskemaskin,1500.0,25. mai 2022,Røyken,https://images.finncdn.no/dynamic/480x480c/2022/2/vertical-0/15/8/247/707/648_1314437265.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=247707648,finn,0.22054_7
18,Vaskemaskin ønskes Max 500kr.,,6. mai 2022,Lysaker,https://static.finncdn.no/_c/mfinn/static/images/no-image.5bf83e47.svg,https://www.finn.no/bap/forsale/ad.html?finnkode=257353421,finn,0.22054_7
19,vaskemaskiner,,6. mai 2022,Bekkestua,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/06/5/257/324/755_1983410646.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=257324755,finn,0.22054_7
20,Vaskemaskinstativ med kurv,800.0,6. mai 2022,Fjerdingby,https://images.finncdn.no/dynamic/480x480c/2022/1/vertical-0/04/7/243/572/137_2013777490.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=243572137,finn,0.22054_7
21,Mate til vaske og tørke maskin,200.0,24. mai 2022,Strømmen,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/24/0/259/628/200_567348830.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259628200,finn,0.22054_7
22,UNIK MULIGHET,2333.0,5. mai 2022,Sellebakk,https://images.finncdn.no/dynamic/480x640c/2021/11/vertical-0/02/6/237/431/846_1495325975.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=237431846,finn,0.22054_7
23,Vaskemaskinslanger,90.0,5. mai 2022,Kongsberg,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/05/0/257/222/180_1306934549.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=257222180,finn,0.22054_7
24,Miele vaskemaskin,500.0,4. mai 2022,Rakkestad,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/28/1/256/453/691_1726632622.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256453691,finn,0.22054_7
25,vaskemaskin,3500.0,22. mai 2022,Mjøndalen,https://images.finncdn.no/dynamic/480x360c/2022/5/vertical-0/22/8/259/386/418_1189679367.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259386418,finn,0.22054_7
26,Hotpoint vaskemaskin selges,750.0,22. mai 2022,Kongsberg,https://images.finncdn.no/dynamic/480x360c/2022/5/vertical-0/22/9/259/375/719_968405675.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259375719,finn,0.22054_7
27,Lite brukt Miele,2000.0,3. mai 2022,Svene,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/03/5/256/972/255_1636316315.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256972255,finn,0.22054_7
28,Suveren SAMSUNG vaskemaskin m/tørketrommel,7000.0,3. mai 2022,Eidsvoll Verk,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/03/3/256/969/263_1159739960.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256969263,finn,0.22054_7
29,Proffe vaskemaskiner og tørketromler i alle størrelser,,22. mai 2022,Trollåsen,https://images.finncdn.no/dynamic/480x360c/2020/9/vertical-0/13/0/191/376/980_1665837409.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=191376980,finn,0.22054_7
30,Tørketrommel tilsalgs,1000.0,21. mai 2022,Strømmen,https://images.finncdn.no/dynamic/480x640c/2022/1/vertical-0/16/7/245/047/767_354323499.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=245047767,finn,0.22054_7
31,vaskemaskin,1550.0,2. mai 2022,Fredrikstad,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/02/8/256/909/798_1682716244.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256909798,finn,0.22054_7
32,"AEG lavamat. Lite brukt. 1000,-.",1000.0,2. mai 2022,Kongsberg,https://images.finncdn.no/dynamic/480x480c/2022/5/vertical-0/02/3/256/890/653_750982064.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256890653,finn,0.22054_7
33,Miele vaskemaskin gis bort,,2. mai 2022,Gamle Fredrikstad,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/02/1/256/886/381_350969748.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256886381,finn,0.22054_7
34,Blomberg vaskemaskin selges billig!,3000.0,21. mai 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2021/10/vertical-0/10/2/234/862/962_1234558336.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=234862962,finn,0.22054_7
35,Miele vaskemaskin W3365 softtronic,2500.0,2. mai 2022,Hakadal,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/02/8/256/846/328_458196739.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256846328,finn,0.22054_7
