,name,price,age,location,image,link,store,category
0,Vaskemaskin Blomberg (Ny) BWX274W2 - Solid og meget enkel i bruk,3900.0,,,https://images.finncdn.no/dynamic/default/2022/5/vertical-0/06/5/257/318/975_298223197.jpg,/bap/forsale/ad.html?finnkode=257318975,finn,0.22054_4
1,Tørktrømmel,500.0,31. mai 2022,Hønefoss,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/30/9/260/454/529_468618402.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260454529,finn,0.22054_4
2,Vaskemaskin selges,1000.0,31. mai 2022,Skjærhalden,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/31/7/260/552/437_527651312.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260552437,finn,0.22054_4
3,Vaskemaskin,700.0,31. mai 2022,Svinndal,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/31/0/260/526/380_126410366.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260526380,finn,0.22054_4
4,Siemens IQ 700 8 kg/1600 omdreininger,2499.0,1. mai 2022,Kløfta,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-5/01/6/256/825/366_1487781808.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256825366,finn,0.22054_4
5,Gis bort,,31. mai 2022,Skiptvet,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/31/3/260/512/703_316168486.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260512703,finn,0.22054_4
6,Matsui Vaskemaskin,500.0,31. mai 2022,Kongsberg,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/31/4/260/511/714_2070221617.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260511714,finn,0.22054_4
7,Samsung vaskemaskin m/tørk,1500.0,31. mai 2022,Lørenskog,https://images.finncdn.no/dynamic/480x640c/2021/8/vertical-0/30/8/230/252/638_1202868923.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=230252638,finn,0.22054_4
8,Beko 8 kg/1600 med garanti,2199.0,1. mai 2022,Kløfta,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-5/01/5/256/824/295_174831624.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256824295,finn,0.22054_4
9,Vask/tørk,1300.0,30. mai 2022,Hagan,https://images.finncdn.no/dynamic/480x640c/2022/3/vertical-0/31/6/253/249/696_867252629.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=253249696,finn,0.22054_4
10,Vaskemaskin og tørketrommel,1000.0,30. mai 2022,Halden,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/30/1/260/473/821_798178139.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260473821,finn,0.22054_4
11,Vaskemaskin,1299.0,30. mai 2022,Gamle Fredrikstad,https://images.finncdn.no/dynamic/480x640c/2021/12/vertical-0/29/8/243/031/358_113672665.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=243031358,finn,0.22054_4
12,"Whirlpool 9, kg / 1400 omdreininge",2999.0,1. mai 2022,Kløfta,https://images.finncdn.no/dynamic/480x640c/2020/10/vertical-5/22/2/195/798/792_1463663595.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=195798792,finn,0.22054_4
13,Vaskemaskin,4000.0,30. mai 2022,Sarpsborg,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/27/9/259/989/769_1146279630.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259989769,finn,0.22054_4
14,sentrifuge,,30. mai 2022,Fredrikstad,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/30/8/260/434/788_1635540977.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260434788,finn,0.22054_4
15,tørketrommel,,30. mai 2022,Halden,https://static.finncdn.no/_c/mfinn/static/images/no-image.5bf83e47.svg,https://www.finn.no/bap/forsale/ad.html?finnkode=260391955,finn,0.22054_4
16,AEG 7 Kg 1600 omd / min. med garanti,1799.0,1. mai 2022,Kløfta,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-5/01/2/256/817/742_474523207.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256817742,finn,0.22054_4
17,Vaskemaskin,1000.0,30. mai 2022,Vesterøy,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/30/9/260/394/219_1965368343.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260394219,finn,0.22054_4
18,"Electrolux kombinert vask og tørk med damp 1600 o/min, 8 kg vask, 6 kg tørk",2200.0,30. mai 2022,Bekkestua,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/30/2/260/391/372_1963714904.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260391372,finn,0.22054_4
19,vaskemaskin,800.0,30. mai 2022,Halden,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/30/5/260/391/745_98546089.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260391745,finn,0.22054_4
