,name,price,age,location,image,link,store,category
0,Vaskemaskin Blomberg (Ny) BWX274W2 - Solid og meget enkel i bruk,3900.0,,,https://images.finncdn.no/dynamic/default/2022/5/vertical-0/06/5/257/318/975_298223197.jpg,/bap/forsale/ad.html?finnkode=257318975,finn,0.22054_5
1,AEG lavamat Vaskemaskin,500.0,to timer siden,Svelvik,https://images.finncdn.no/dynamic/480x360c/2022/4/vertical-0/06/6/253/944/476_1653773099.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=253944476,finn,0.22054_5
2,Lav pris på hvitevarer hos www.norskombruk.no | 2 års garanti på alt,2900.0,24. apr. 2022,Sandvika,https://images.finncdn.no/dynamic/480x360c/2022/1/vertical-5/03/1/241/184/961_837520011.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=241184961,finn,0.22054_5
3,Samsung vask/tørk maskinen,4000.0,to timer siden,Mjøndalen,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/8/261/509/868_283681011.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261509868,finn,0.22054_5
4,Pent brukt vaskemaskin selges,500.0,tre timer siden,Oppegård,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/7/261/510/237_366951829.png,https://www.finn.no/bap/forsale/ad.html?finnkode=261510237,finn,0.22054_5
5,BOSCH VASKEMASKIN.,1500.0,fire timer siden,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/4/261/505/484_1297857745.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261505484,finn,0.22054_5
6,"Nyoverhalt vaskemaskin med garanti, fritt tilkjørt",2200.0,24. apr. 2022,Lørenskog,https://images.finncdn.no/dynamic/480x640c/2018/10/vertical-5/21/0/132/107/710_392610319.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=132108102,finn,0.22054_5
7,Skuff til vaskemaskin/tørketrommel,1000.0,fire timer siden,Frogner,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/7/261/502/857_387653836.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261502857,finn,0.22054_5
8,Whirlpool fscr 90432 frontmatet 9kg,3500.0,fire timer siden,Fetsund,https://images.finncdn.no/dynamic/480x480c/2022/6/vertical-0/08/8/261/496/918_1234461311.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261496918,finn,0.22054_5
9,Ariston,500.0,seks timer siden,Billingstad,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/1/261/487/011_311617539.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261487011,finn,0.22054_5
10,Bosch vaskemaskin med garanti og gratis frakt,2200.0,24. apr. 2022,Moss,https://images.finncdn.no/dynamic/480x640c/2019/4/vertical-5/09/0/138/727/030_221212529.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=144606445,finn,0.22054_5
11,vaskemaskin.,3000.0,sju timer siden,Drammen,https://images.finncdn.no/dynamic/480x480c/2022/6/vertical-0/08/2/261/477/312_1495835750.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261477312,finn,0.22054_5
12,Vaskemaskin  Candy,1500.0,ni timer siden,Fetsund,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/6/261/467/006_1436126862.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261467006,finn,0.22054_5
13,Vaskemaskin Hotpoint,1800.0,ni timer siden,Fetsund,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/1/261/466/301_1243513879.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261466301,finn,0.22054_5
14,Vaskemaskin fra AEG. Modell: L7FQS966E2,4498.0,22. apr. 2022,Hagan,https://images.finncdn.no/dynamic/480x480c/2022/5/vertical-5/30/1/255/674/251_83227662.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=255674251,finn,0.22054_5
15,Pent brukt vaskemaskin selges,500.0,23. mai 2022,Moss,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/23/7/259/538/007_1823152961.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259538007,finn,0.22054_5
16,Vaskemaskin selges,500.0,en dag siden,Drammen,https://images.finncdn.no/dynamic/480x360c/2022/6/vertical-0/07/0/261/401/940_1775500575.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261401940,finn,0.22054_5
17,Vaskemaskin,1700.0,en dag siden,Skedsmokorset,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/2/261/397/452_1517161598.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261397452,finn,0.22054_5
18,Electrolux Vaskemaskin EW8F8661U1 - 24 mnd garanti - www.norskombruk.no,5990.0,21. apr. 2022,Sandvika,https://images.finncdn.no/dynamic/480x360c/2022/4/vertical-5/19/3/254/091/313_638051000.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=254091313,finn,0.22054_5
19,Vaskemaskin,1500.0,en dag siden,Hønefoss,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/7/261/396/667_398209290.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261396667,finn,0.22054_5
20,vaskemaskin,1000.0,en dag siden,Langhus,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/6/261/379/486_858684817.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261379486,finn,0.22054_5
21,Vaskemaskin :),2000.0,en dag siden,Mysen,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/3/261/364/003_1148736093.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261364003,finn,0.22054_5
22,WOW; Spar 2000 LG Vask/tørk CV50T6S2E,6795.0,11. mai 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/2/vertical-5/11/5/248/040/905_1599149058.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=248040905,finn,0.22054_5
