,name,price,age,location,image,link,store,category
0,Vaskemaskin Blomberg (Ny) BWX274W2 - Solid og meget enkel i bruk,3900.0,,,https://images.finncdn.no/dynamic/default/2022/5/vertical-0/06/5/257/318/975_298223197.jpg,/bap/forsale/ad.html?finnkode=257318975,finn,0.22054_1
1,Vaskemaskinstativ med kurv,600.0,to dager siden,Kirkenes,https://images.finncdn.no/dynamic/480x360c/2022/6/vertical-0/06/8/261/255/638_1451550394.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261255638,finn,0.22054_1
2,"Whirlpool AWG 812 S/PRO kommersiell vaskemaskin, spar kr 4000!",10990.0,en dag siden,Tromsø,https://images.finncdn.no/dynamic/480x480c/2022/5/vertical-5/30/4/260/389/924_1707005325.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260389924,finn,0.22054_1
3,AEG lavamat vaskemaskin,1500.0,3. juni 2022,Bardufoss,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/03/8/260/904/168_905085724.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260904168,finn,0.22054_1
4,Vaskemaskinstativ,,3. juni 2022,Alta,https://images.finncdn.no/dynamic/480x480c/2022/6/vertical-0/03/4/260/891/484_518299227.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260891484,finn,0.22054_1
5,Electrolux PerfectCare 600 EW6F4241L2,2000.0,1. juni 2022,Moen,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/01/1/260/626/541_2011313748.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260626541,finn,0.22054_1
6,"Miele vaskemaskin WER875WPS, spar 5000 kr!",18500.0,en dag siden,Tromsø,https://images.finncdn.no/dynamic/480x480c/2022/5/vertical-5/30/7/260/388/487_1232733138.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260388487,finn,0.22054_1
7,Bosch vaskemaskin,2000.0,26. mai 2022,Lakselv,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/26/3/259/868/763_242607672.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259868763,finn,0.22054_1
8,Samsung vaskemaskin med tørketrommel,6500.0,14. mai 2022,Alta,https://images.finncdn.no/dynamic/480x480c/2022/1/vertical-0/05/1/243/711/111_872787070.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=243711111,finn,0.22054_1
9,Pent brukt stekeovn med keramisk topp,3000.0,11. mai 2022,Bardufoss,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/11/2/258/096/772_622979846.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258096772,finn,0.22054_1
