,name,price,age,location,image,link,store,category
0,Vaskemaskin Blomberg (Ny) BWX274W2 - Solid og meget enkel i bruk,3900.0,,,https://images.finncdn.no/dynamic/default/2022/5/vertical-0/06/5/257/318/975_298223197.jpg,/bap/forsale/ad.html?finnkode=257318975,finn,0.22054_6
1,Samsung kombinert vask/tørk,4900.0,5. juni 2022,Billingstad,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/05/9/261/075/529_415414576.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261075529,finn,0.22054_6
2,Vaskemaskin,1500.0,5. juni 2022,Skjetten,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/05/1/261/071/541_1668401291.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261071541,finn,0.22054_6
3,Vaskemaskin,4000.0,20. mai 2022,Rolvsøy,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/20/7/259/122/207_1858578275.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259122207,finn,0.22054_6
4,Vibrasjonsdempere - vaskemaskin og tørketrommel,100.0,20. mai 2022,Maura,https://images.finncdn.no/dynamic/480x360c/2022/3/vertical-0/10/0/250/847/430_631751585.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=250847430,finn,0.22054_6
5,vaskemaskin,500.0,20. mai 2022,Haslum,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/20/6/259/092/156_255364501.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259092156,finn,0.22054_6
6,Samsung WD6300T vaskemaskin/tørketrommel WD95T634CBH,6500.0,20. mai 2022,Ytre Enebakk,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/20/5/259/084/725_1393374445.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259084725,finn,0.22054_6
7,Vaskemaskin whirpool,900.0,4. juni 2022,Frogner,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/04/4/261/030/564_1121455269.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261030564,finn,0.22054_6
8,vaskemaskin,4500.0,19. mai 2022,Sarpsborg,https://images.finncdn.no/dynamic/480x360c/2022/3/vertical-0/19/0/251/909/150_767739499.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=251909150,finn,0.22054_6
9,GRUNDIG vaskemaskin 10 års garanti,5000.0,19. mai 2022,Skotselv,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/19/4/258/957/424_1152033696.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258957424,finn,0.22054_6
10,Whirlpool AWO/D 4732,,4. juni 2022,Fetsund,https://images.finncdn.no/dynamic/480x640c/2020/8/vertical-0/08/4/187/340/074_332946141.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=187340074,finn,0.22054_6
11,Vaskemaskin,1400.0,4. juni 2022,Strømmen,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/04/0/260/959/510_87781156.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260959510,finn,0.22054_6
12,Whirlpool vaskemaskin Awo/D 5024,2000.0,18. mai 2022,Ås,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/18/8/258/916/788_1487547566.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258916788,finn,0.22054_6
13,Magnetventil 3 veis rett ASKO vaskemaskin,200.0,3. juni 2022,Mysen,https://images.finncdn.no/dynamic/480x360c/2022/1/vertical-0/24/0/245/987/940_527851981.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=245987940,finn,0.22054_6
14,Vaskemaskin,800.0,3. juni 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/03/4/260/941/184_873366517.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260941184,finn,0.22054_6
15,Vaskemaskin Grundig GWN 37430,1800.0,3. juni 2022,Kjeller,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/03/3/260/914/523_1719807352.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260914523,finn,0.22054_6
16,Electrolux  vaskemaskin,2500.0,3. juni 2022,Sørumsand,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/03/4/260/913/324_1185776159.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260913324,finn,0.22054_6
17,AEG lavamat 7kg,1500.0,3. juni 2022,Sørumsand,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/03/8/260/912/358_160885173.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260912358,finn,0.22054_6
18,vaskemaskin AEG Turnamat som den på bildet over her fra 1961 etterlyses,,18. mai 2022,Årnes,https://images.finncdn.no/dynamic/480x360c/2022/3/vertical-0/19/5/251/802/505_92406317.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=251802505,finn,0.22054_6
19,LG kombi vaskemaskin-tørketrommel,500.0,3. juni 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/2/vertical-0/16/4/248/662/334_40521741.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=248662334,finn,0.22054_6
20,Splitter ny vaskemaskin selges!,4500.0,3. juni 2022,Lillestrøm,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/03/5/260/888/855_3188641.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260888855,finn,0.22054_6
21,Elextrolux vaskemaskin,3000.0,18. mai 2022,Lørenskog,https://images.finncdn.no/dynamic/480x480c/2022/5/vertical-0/18/9/258/817/449_2101476154.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258817449,finn,0.22054_6
22,logixx8 Bosch vaskemaskin selges,600.0,17. mai 2022,Ås,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/17/6/258/810/126_1019466160.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258810126,finn,0.22054_6
23,Stativ til Vaskemaski/Tørketrommel,700.0,Solgt,Vøyenenga,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/17/9/258/803/729_1009810870.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258803729,finn,0.22054_6
24,"Stableramme med uttrekbar hylle,  stablingssett",500.0,2. juni 2022,Frogner,https://images.finncdn.no/dynamic/480x640c/2022/3/vertical-0/20/0/251/982/450_1072530379.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=251982450,finn,0.22054_6
25,Miele Vask/tørk mellomsats med arbeidsplate,499.0,2. juni 2022,Asker,https://images.finncdn.no/dynamic/480x480c/2022/6/vertical-0/02/0/260/830/360_1964916922.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260830360,finn,0.22054_6
26,Fint vaskemaskin MATSUI,900.0,2. juni 2022,Frogner,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/02/8/260/828/588_590561382.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260828588,finn,0.22054_6
27,vaskemaskin,,2. juni 2022,Drammen,https://images.finncdn.no/dynamic/480x360c/2022/6/vertical-0/02/0/260/796/450_1213246408.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260796450,finn,0.22054_6
28,Oppvaskmaskin,500.0,1. juni 2022,Ski,https://images.finncdn.no/dynamic/480x640c/2021/9/vertical-0/10/9/231/421/949_745511639.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=231421949,finn,0.22054_6
29,Ramme for Miele vaskemaskin og tørketrommel,200.0,1. juni 2022,Ski,https://images.finncdn.no/dynamic/480x640c/2021/7/vertical-0/28/2/226/355/522_267526969.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=226355522,finn,0.22054_6
