,name,price,age,location,image,link,store,category
0,Vaskemaskin Blomberg (Ny) BWX274W2 - Solid og meget enkel i bruk,3900.0,,,https://images.finncdn.no/dynamic/default/2022/5/vertical-0/06/5/257/318/975_298223197.jpg,/bap/forsale/ad.html?finnkode=257318975,finn,0.22054_3
1,Vaskemaskin,1300.0,5. juni 2022,Vestfossen,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/05/8/261/135/478_312034016.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261135478,finn,0.22054_3
2,WOW! Spar KR.2805 LG Vaskemaskin FV96JNS2QE,9190.0,2. juni 2022,Drammen,https://images.finncdn.no/dynamic/480x480c/2022/1/vertical-5/03/5/243/514/785_1920224386.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=243514785,finn,0.22054_3
3,LG vaskemaskin Inntaksrør,100.0,5. juni 2022,Fjerdingby,https://images.finncdn.no/dynamic/480x640c/2021/5/vertical-0/27/7/220/056/197_213639911.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=220056197,finn,0.22054_3
4,Bosch vaskemaskin,400.0,5. juni 2022,Jessheim,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/05/9/261/114/729_713417134.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261114729,finn,0.22054_3
5,Vaskemaskin,800.0,5. juni 2022,Krøderen,https://images.finncdn.no/dynamic/480x360c/2022/6/vertical-0/05/9/261/112/529_1263638445.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261112529,finn,0.22054_3
6,WOW! Spar KR.2005 AEG Vaskemaskin L6FBK866G,5990.0,2. juni 2022,Drammen,https://images.finncdn.no/dynamic/480x480c/2022/1/vertical-5/03/2/243/516/362_1281714313.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=243516362,finn,0.22054_3
7,Miele W5873  Edition 111 selges,1900.0,5. juni 2022,Nesodden,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/05/5/261/099/755_659174895.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261099755,finn,0.22054_3
8,Hentes/ kjøpes: AEG Turnamat fra 1961 til 67. Noen som har eller vet om maken???,,5. juni 2022,Årnes,https://images.finncdn.no/dynamic/480x640c/2020/10/vertical-0/03/6/193/637/356_649381974.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=193637356,finn,0.22054_3
9,Pent brukt vaskemaskin selges,1600.0,5. juni 2022,Sarpsborg,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/05/4/261/079/304_1688373999.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261079304,finn,0.22054_3
10,BRUKT; Vaskemaskiner med garanti,2000.0,1. juni 2022,Asker,https://images.finncdn.no/dynamic/480x360c/2016/8/vertical-5/10/7/615/421/07_288340666.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=80432283,finn,0.22054_3
11,Vaskemaskin Electrolux EWF1467GDW,3500.0,5. juni 2022,Lierskogen,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/05/9/261/073/849_1149164866.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261073849,finn,0.22054_3
12,Whirlpool vaskemaskin,3999.0,4. juni 2022,Fredrikstad,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/04/2/261/002/842_2115438723.png,https://www.finn.no/bap/forsale/ad.html?finnkode=261002842,finn,0.22054_3
13,Pent brukt Whirpool vaskemaskin.,800.0,4. juni 2022,Lørenskog,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/04/2/260/999/002_2029261659.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260999002,finn,0.22054_3
14,Vaskemaskin fra Indesit. Modell: BWE 91485X WS EU N.,3998.0,13. mai 2022,Hagan,https://images.finncdn.no/dynamic/480x480c/2022/5/vertical-5/24/4/258/299/164_1580459781.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=258299164,finn,0.22054_3
